# fine_type	parent_type
CAF	stromal
Cholangiocyte	epithelial
Endothelial	vascular
Epithelial_cancer	epithelial
Hepatocyte	epithelial
LSEC	vascular
Macrophage	immune
Mixed_lymphocytes	immune
RBCs	immune
