# fine_type	parent_type
B_cells	immune
CAF	stromal
DC	immune
Endothelial	vascular
Epithelial_basal	epithelial
Epithelial_cancer	epithelial
Epithelial_luminal	epithelial
MAST	immune
Macrophage	immune
Myoepithelial	stromal
PVL	stromal
T_cells	immune
