# Small cross-lineage smoke panel. Replace with a frozen ~500-gene panel for experiments.
EPCAM
KRT8
KRT19
KRT14
KRT5
MSLN
MUC1
MUCL1
ERBB2
ESR1
PGR
MKI67
TOP2A
PCNA
COL1A1
COL1A2
COL3A1
DCN
LUM
COL6A1
ACTA2
TAGLN
MYH11
RGS5
CSPG4
PECAM1
VWF
EMCN
KDR
ENG
CD3D
CD3E
TRBC1
CD4
CD8A
NKG7
GNLY
GZMB
MS4A1
CD79A
CD37
CD74
MZB1
JCHAIN
CD68
CD14
LYZ
C1QA
C1QB
C1QC
FCGR3A
S100A8
S100A9
KIT
B2M
STAT1
ISG15
IFIT1
IFIT3
MX1
CXCL10
VEGFA
CA9
HIF1A
TGFB1
FN1
SPARC
VIM
CDH1
ACTB

